"","ID","Group","Weight","Time"
"1","1","1",240,1
"2","2","1",225,1
"3","3","1",245,1
"4","4","1",260,1
"5","5","1",255,1
"6","6","1",260,1
"7","7","1",275,1
"8","8","1",245,1
"9","9","2",410,1
"10","10","2",405,1
"11","11","2",445,1
"12","12","2",555,1
"13","13","3",470,1
"14","14","3",535,1
"15","15","3",520,1
"16","16","3",510,1
"17","1","1",250,8
"18","2","1",230,8
"19","3","1",250,8
"20","4","1",255,8
"21","5","1",260,8
"22","6","1",265,8
"23","7","1",275,8
"24","8","1",255,8
"25","9","2",415,8
"26","10","2",420,8
"27","11","2",445,8
"28","12","2",560,8
"29","13","3",465,8
"30","14","3",525,8
"31","15","3",525,8
"32","16","3",510,8
"33","1","1",255,15
"34","2","1",230,15
"35","3","1",250,15
"36","4","1",255,15
"37","5","1",255,15
"38","6","1",270,15
"39","7","1",260,15
"40","8","1",260,15
"41","9","2",425,15
"42","10","2",430,15
"43","11","2",450,15
"44","12","2",565,15
"45","13","3",475,15
"46","14","3",530,15
"47","15","3",530,15
"48","16","3",520,15
"49","1","1",260,22
"50","2","1",232,22
"51","3","1",255,22
"52","4","1",265,22
"53","5","1",270,22
"54","6","1",275,22
"55","7","1",270,22
"56","8","1",268,22
"57","9","2",428,22
"58","10","2",440,22
"59","11","2",452,22
"60","12","2",580,22
"61","13","3",485,22
"62","14","3",533,22
"63","15","3",540,22
"64","16","3",515,22
"65","1","1",262,29
"66","2","1",240,29
"67","3","1",262,29
"68","4","1",265,29
"69","5","1",270,29
"70","6","1",275,29
"71","7","1",273,29
"72","8","1",270,29
"73","9","2",438,29
"74","10","2",448,29
"75","11","2",455,29
"76","12","2",590,29
"77","13","3",487,29
"78","14","3",535,29
"79","15","3",543,29
"80","16","3",530,29
"81","1","1",258,36
"82","2","1",240,36
"83","3","1",265,36
"84","4","1",268,36
"85","5","1",273,36
"86","6","1",277,36
"87","7","1",274,36
"88","8","1",265,36
"89","9","2",443,36
"90","10","2",460,36
"91","11","2",455,36
"92","12","2",597,36
"93","13","3",493,36
"94","14","3",540,36
"95","15","3",546,36
"96","16","3",538,36
"97","1","1",266,43
"98","2","1",243,43
"99","3","1",267,43
"100","4","1",270,43
"101","5","1",274,43
"102","6","1",278,43
"103","7","1",276,43
"104","8","1",265,43
"105","9","2",442,43
"106","10","2",458,43
"107","11","2",451,43
"108","12","2",595,43
"109","13","3",493,43
"110","14","3",525,43
"111","15","3",538,43
"112","16","3",535,43
"113","1","1",266,44
"114","2","1",244,44
"115","3","1",267,44
"116","4","1",272,44
"117","5","1",273,44
"118","6","1",278,44
"119","7","1",271,44
"120","8","1",267,44
"121","9","2",446,44
"122","10","2",464,44
"123","11","2",450,44
"124","12","2",595,44
"125","13","3",504,44
"126","14","3",530,44
"127","15","3",544,44
"128","16","3",542,44
"129","1","1",265,50
"130","2","1",238,50
"131","3","1",264,50
"132","4","1",274,50
"133","5","1",276,50
"134","6","1",284,50
"135","7","1",282,50
"136","8","1",273,50
"137","9","2",456,50
"138","10","2",475,50
"139","11","2",462,50
"140","12","2",612,50
"141","13","3",507,50
"142","14","3",543,50
"143","15","3",553,50
"144","16","3",550,50
"145","1","1",272,57
"146","2","1",247,57
"147","3","1",268,57
"148","4","1",273,57
"149","5","1",278,57
"150","6","1",279,57
"151","7","1",281,57
"152","8","1",274,57
"153","9","2",468,57
"154","10","2",484,57
"155","11","2",466,57
"156","12","2",618,57
"157","13","3",518,57
"158","14","3",544,57
"159","15","3",555,57
"160","16","3",553,57
"161","1","1",278,64
"162","2","1",245,64
"163","3","1",269,64
"164","4","1",275,64
"165","5","1",280,64
"166","6","1",281,64
"167","7","1",284,64
"168","8","1",278,64
"169","9","2",478,64
"170","10","2",496,64
"171","11","2",472,64
"172","12","2",628,64
"173","13","3",525,64
"174","14","3",559,64
"175","15","3",548,64
"176","16","3",569,64
